"Name","TID","TID_DESCRIPTION","Value","Category","Hours","Minutes","Seconds","Type","Building","Tool","ToolProb","IconSWF","IconExportName","Recipe","RequiredBuilding","RequiredBuildingCount","RevealedByDefault"
"TreasuryLevel2","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",2,"Buildings",,,12600,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel3","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",3,"Buildings",,,15600,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel4","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",4,"Buildings",,,51000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel5","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",5,"Buildings",,,90000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel6","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",6,"Buildings",,,114000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel7","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",7,"Buildings",,,174000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel8","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",8,"Buildings",,,564000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel9","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",9,"Buildings",,,600000,"BuildingLevel","Treasury",,,,,,,,
"TreasuryLevel10","TID_TECH_TREASURY_LEVEL_2_TO_10","TID_TECH_TREASURY_LEVEL_2_TO_10_DESC",10,"Buildings",,,600000,"BuildingLevel","Treasury",,,,,,,,
"FigurineWorkshopCount1","TID_TECH_FIGURINEWORKSHOP_COUNT_1","TID_TECH_FIGURINEWORKSHOP_COUNT_1_DESC",1,"Buildings",,,720,"BuildingCount","FigurineWorkshop",,,,,,,,
"PotteryWorkshopCount1","TID_TECH_POTTERYWORKSHOP_COUNT_1","TID_TECH_POTTERYWORKSHOP_COUNT_1_DESC",1,"Buildings",,,60000,"BuildingCount","PotteryWorkshop",,,,,,,,
"StatueWorkshopCount1","TID_TECH_STATUEWORKSHOP_COUNT_1","TID_TECH_STATUEWORKSHOP_COUNT_1_DESC",1,"Buildings",,,204000,"BuildingCount","StatueWorkshop",,,,,,,,
"JuicePressCount1","TID_TECH_JUICEPRESS_COUNT_1","TID_TECH_JUICEPRESS_COUNT_1_DESC",1,"Buildings",,,318000,"BuildingCount","JuicePress",,,,,,,,
"WindmillCount1","TID_TECH_WINDMILL_COUNT_1","TID_TECH_WINDMILL_COUNT_1_DESC",1,"Buildings",,,2400,"BuildingCount","Windmill",,,,,,,,
"BeehiveCount1","TID_TECH_BEEHIVE_COUNT_1","TID_TECH_BEEHIVE_COUNT_1_DESC",1,"Buildings",,,16800,"BuildingCount","Beehive",,,,,,,,
"BeehiveLevel2","TID_TECH_BEEHIVE_LEVEL_2","TID_TECH_BEEHIVE_LEVEL_2_TO_5_DESC",2,"Buildings",,,20400,"BuildingLevel","Beehive",,,,,,,,
"BeehiveLevel3","TID_TECH_BEEHIVE_LEVEL_3","TID_TECH_BEEHIVE_LEVEL_2_TO_5_DESC",3,"Buildings",,,45000,"BuildingLevel","Beehive",,,,,,,,
"BeehiveLevel4","TID_TECH_BEEHIVE_LEVEL_4","TID_TECH_BEEHIVE_LEVEL_2_TO_5_DESC",4,"Buildings",,,600000,"BuildingLevel","Beehive",,,,,,,,
"BeehiveLevel5","TID_TECH_BEEHIVE_LEVEL_5","TID_TECH_BEEHIVE_LEVEL_2_TO_5_DESC",5,"Buildings",,,600000,"BuildingLevel","Beehive",,,,,,,,
"AppleTreeGroveCount1","TID_TECH_APPLETREEGROVE_COUNT_1","TID_TECH_APPLETREEGROVE_COUNT_1_DESC",1,"Buildings",,,102000,"BuildingCount","AppleTreeGrove",,,,,,,,
"TechRecipeSugarApple","TID_TECH_RECIPE_SUGARAPPLE","TID_TECH_RECIPE_SUGARAPPLE_DESC",1,"Buildings",,,84000,"CraftingRecipe",,,,,,"RecipeSugarApple",,,
"TechRecipeHoneyCookie","TID_TECH_RECIPE_HONEYCOOKIE","TID_TECH_RECIPE_HONEYCOOKIE_DESC",1,"Buildings",,,15000,"CraftingRecipe",,,,,,"RecipeHoneyCookie",,,
"TechRecipeFishPie","TID_TECH_RECIPE_FISHPIE","TID_TECH_RECIPE_FISHPIE_DESC",1,"Buildings",,,156000,"CraftingRecipe",,,,,,"RecipeFishPie",,,
"TechRecipeApplePie","TID_TECH_RECIPE_APPLEPIE","TID_TECH_RECIPE_APPLEPIE_DESC",1,"Buildings",,,120000,"CraftingRecipe",,,,,,"RecipeApplePie",,,
"TechRecipeCakeRoyale","TID_TECH_RECIPE_CAKEROYALE","TID_TECH_RECIPE_CAKEROYALE_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeCakeRoyale",,,
"TechRecipeSaltedFish","TID_TECH_RECIPE_SALTEDFISH","TID_TECH_RECIPE_SALTEDFISH_DESC",1,"Buildings",,,84000,"CraftingRecipe",,,,,,"RecipeSaltedFish",,,
"TechRecipeSaltPot","TID_TECH_RECIPE_SALTPOT","TID_TECH_RECIPE_SALTPOT_DESC",1,"Buildings",,,54000,"CraftingRecipe",,,,,,"RecipeSaltPot",,,
"TechRecipeHoneyPot","TID_TECH_RECIPE_HONEYPOT","TID_TECH_RECIPE_HONEYPOT_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeHoneyPot",,,
"TechRecipeAppleJam","TID_TECH_RECIPE_APPLEJAM","TID_TECH_RECIPE_APPLEJAM_DESC",1,"Buildings",,,330000,"CraftingRecipe",,,,,,"RecipeAppleJam",,,
"TechRecipeSweetHerring","TID_TECH_RECIPE_SWEETHERRING","TID_TECH_RECIPE_SWEETHERRING_DESC",1,"Buildings",,,204000,"CraftingRecipe",,,,,,"RecipeSweetHerring",,,
"TechRecipeDyeRed","TID_TECH_RECIPE_DYERED","TID_TECH_RECIPE_DYERED_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeDyeRed",,,
"TechRecipeDyeYellow","TID_TECH_RECIPE_DYEYELLOW","TID_TECH_RECIPE_DYEYELLOW_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeDyeYellow",,,
"TechRecipeDyeBlue","TID_TECH_RECIPE_DYEBLUE","TID_TECH_RECIPE_DYEBLUE_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeDyeBlue",,,
"TechRecipeDyeGreen","TID_TECH_RECIPE_DYEGREEN","TID_TECH_RECIPE_DYEGREEN_DESC",1,"Buildings",,,288000,"CraftingRecipe",,,,,,"RecipeDyeGreen",,,
"TechRecipeDyeOrange","TID_TECH_RECIPE_DYEORANGE","TID_TECH_RECIPE_DYEORANGE_DESC",1,"Buildings",,,300000,"CraftingRecipe",,,,,,"RecipeDyeOrange",,,
"TechRecipeDyePurple","TID_TECH_RECIPE_DYEPURPLE","TID_TECH_RECIPE_DYEPURPLE_DESC",1,"Buildings",,,312000,"CraftingRecipe",,,,,,"RecipeDyePurple",,,
"TechRecipeDyeRainbow","TID_TECH_RECIPE_DYERAINBOW","TID_TECH_RECIPE_DYERAINBOW_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeDyeRainbow",,,
"TechRecipePlushie","TID_TECH_RECIPE_PLUSHIE","TID_TECH_RECIPE_PLUSHIE_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipePlushie",,,
"TechRecipeRuneGame","TID_TECH_RECIPE_RUNEGAME","TID_TECH_RECIPE_RUNEGAME_DESC",1,"Buildings",,,480000,"CraftingRecipe",,,,,,"RecipeRuneGame",,,
"TechRecipeWoodenDuck","TID_TECH_RECIPE_WOODENDUCK","TID_TECH_RECIPE_WOODENDUCK_DESC",1,"Buildings",,,570000,"CraftingRecipe",,,,,,"RecipeWoodenDuck",,,
"TechRecipeMarbles","TID_TECH_RECIPE_MARBLES","TID_TECH_RECIPE_MARBLES_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeMarbles",,,
"TechRecipeWoodenDoll","TID_TECH_RECIPE_WOODENDOLL","TID_TECH_RECIPE_WOODENDOLL_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeWoodenDoll",,,
"TechRecipeSocks","TID_TECH_RECIPE_SOCKS","TID_TECH_RECIPE_SOCKS_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeSocks",,,
"TechRecipeTrousers","TID_TECH_RECIPE_TROUSERS","TID_TECH_RECIPE_TROUSERS_DESC",1,"Buildings",,,18000,"CraftingRecipe",,,,,,"RecipeTrousers",,,
"TechRecipeHat","TID_TECH_RECIPE_HAT","TID_TECH_RECIPE_HAT_DESC",1,"Buildings",,,180000,"CraftingRecipe",,,,,,"RecipeHat",,,
"TechRecipeTunic","TID_TECH_RECIPE_TUNIC","TID_TECH_RECIPE_TUNIC_DESC",1,"Buildings",,,84000,"CraftingRecipe",,,,,,"RecipeTunic",,,
"TechRecipeShirt","TID_TECH_RECIPE_SHIRT","TID_TECH_RECIPE_SHIRT_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeShirt",,,
"TechRecipeDress","TID_TECH_RECIPE_DRESS","TID_TECH_RECIPE_DRESS_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeDress",,,
"TechRecipeJacket","TID_TECH_RECIPE_JACKET","TID_TECH_RECIPE_JACKET_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeJacket",,,
"TechRecipeRainbowSuit","TID_TECH_RECIPE_RAINBOWSUIT","TID_TECH_RECIPE_RAINBOWSUIT_DESC",1,"Buildings",,,600000,"CraftingRecipe",,,,,,"RecipeRainbowSuit",,,
"PumpkinFieldCount1","TID_TECH_PUMPKIN_FIELD_COUNT_1","TID_TECH_PUMPKIN_FIELD_1_DESC",1,"Buildings",,,300,"BuildingCount","PumpkinField",,,,,,,,
"ClayPitCount1","TID_TECH_CLAY_PIT","TID_TECH_CLAY_PIT_DESC",1,"Buildings",,,480,"BuildingCount","ClayPit",,,,,,,,
"ManagedForestCount1","TID_TECH_MANAGED_FOREST","TID_TECH_MANAGED_FOREST_DESC",1,"Buildings",,,480,"BuildingCount","ManagedForest",,,,,,,,
"StoneMineCount1","TID_TECH_STONE_MINE","TID_TECH_STONE_MINE_DESC",1,"Buildings",,,18000,"BuildingCount","StoneMine",,,,,,,,
"Nation","TID_TECH_NATION","TID_TECH_NATION_DESC",,,,,1200,"Custom",,,,"sc/background_images.sc","tech_image_valley_open",,,,"TRUE"
"Education","TID_TECH_EDUCATION","TID_TECH_EDUCATION_DESC",,,,,51000,"Custom",,,,"sc/ui.sc","icon_professions_tech_node",,,,
"LibraryCount1","TID_TECH_LIBRARY_COUNT_1","TID_TECH_LIBRARY_COUNT_1_DESC",1,"Buildings",,,60,"BuildingCount","Library",,,,,,"House",2,
