"Name","TID","TIDUnconstructed","InfoTitleTID","InfoTID","InfoTIDUnconstructed","NPCGreetingTID","BeginBuildResource","BeginBuildCost","BuildResource1","BuildCost1","BuildResource2","BuildCost2","BuildResource3","BuildCost3","BuildResource4","BuildCost4","BuildResource5","BuildCost5","BuildingClass","ShopBuildingClass","GroundLayer","IconSWF","XP","SCW","SCWRotated","SCWBase","SCWUnconstructed","SCWConstruction","SCWConstructionExtra","SCWClaim","SCWUiBase","SCWAreaGreen","SCWAreaRed","CollisionShape","Scale","MoveResource","TerrainHoleSize","ColorizeMaterials","MoveCost","TownHallLevel","Width","Height","WalkableBorder","IgnoreAdjacentBuildingSpace","ObstacleGrowthDistance","Icon","MaxStoredFountainBoost","MaxStoredWood","MaxStoredBread","MaxStoredStone","MaxStoredFood","MaxStoredClay","MaxStoredPotionIngredient1","MaxStoredPotionIngredient2","MaxStoredPotionIngredient3","MaxStoredPotionIngredient4","MaxStoredPotionIngredient5","MaxStoredPotionIngredient6","MaxStoredCoins","MaxStoredWool","MaxStoredWheat","MaxStoredBerry","MaxStoredMushroom","MaxStoredEgg","MaxStoredBerryPie","MaxStoredBerryCake","MaxStoredFish","MaxStoredCotton","MaxStoredIndigo","MaxStoredSugar","MaxStoredSalt","MaxStoredSugarApple","MaxStoredHoneyCookie","MaxStoredFishPie","MaxStoredApplePie","MaxStoredCakeRoyale","MaxStoredSaltedFish","MaxStoredSaltPot","MaxStoredHoneyPot","MaxStoredAppleJam","MaxStoredSweetHerring","MaxStoredDyeRed","MaxStoredDyeYellow","MaxStoredDyeBlue","MaxStoredDyeGreen","MaxStoredDyeOrange","MaxStoredDyePurple","MaxStoredDyeRainbow","MaxStoredPlushie","MaxStoredRuneGame","MaxStoredWoodenDuck","MaxStoredMarbles","MaxStoredWoodenDoll","MaxStoredSocks","MaxStoredTrousers","MaxStoredHat","MaxStoredTunic","MaxStoredShirt","MaxStoredDress","MaxStoredJacket","MaxStoredRainbowSuit","MaxStoredFigurine","MaxStoredPottery","MaxStoredStatuette","MaxStoredAppleJuice","MaxStoredFlour","MaxStoredHoney","MaxStoredApple","MaxStoredCarrot","StartingResourcePercent","StartingPotionIngredient1","StartingPotionIngredient2","StartingPotionIngredient3","StartingPotionIngredient4","StartingPotionIngredient5","StartingPotionIngredient6","Profession","MaxWorkers","MaxAutomaticallyProducedResources","ProducesResource","ResourceBatchSeconds","ResourceBatchSize","ResourceMax","InputResource","InputResourceType","InputPerBatch","HarvestResource","WorkPos1","WorkAnim1","WorkPos2","WorkAnim2","PickUpEffect","PlacingEffect","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","AmountCanBeUpgraded","Workers","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceAverageSeconds","SpawnResourceHarvestSeconds","SpawnCount","SpawnPos1","SpawnSCW1","SpawnPos2","SpawnSCW2","SpawnPos3","SpawnSCW3","SpawnPos4","SpawnSCW4","SpawnPos5","SpawnSCW5","SpawnPos6","SpawnSCW6","SpawnPos7","SpawnSCW7","SpawnPos8","SpawnSCW8","SpawnPos9","SpawnSCW9","Passable","SpeedPercentage","RandomDirection","RandomYaw","RandomPitch","RandomScale","RandomBaseDirection","RandomBaseYaw","StoredResourceNodePrefix","StoredResourceNode2Prefix","StoredResourceGfxSCW","StoredResourceCountPerObject","RequestAmount","RequestExpiryMinutes","RequestCooldownMinutes","DonationLimit","DonationMoveSpeed","DonationCooldownSeconds","ConstantEffect","VillageTaskProvider","VillageTaskFulfiller","EffectActivePos","EffectActiveName","EffectBoostPos","EffectBoostName","EffectBoostScalePercent","ForceNonInteractive","NPC","NPCPlacement","CanBeBatched","IconCameraZoom","IconCameraY","SpawnAnimal","UIBackgroundExportName","LocationSound","UpgradeSignX","UpgradeSignY","UpgradeSignZ","UpgradeSignScale","AnimationAlwaysOn","TouchEffect","IsTaskFulfiller","PremiumTradePartner","ValleyLODScale","ValleyLODMoveFactor"
,,,,,,,"Coins",3800,"Plank",240,"Clay",300,,,,,,,,,,,1,"sc3d/bldv_house_lv9_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,300,
,,,,,,,"Coins",4800,"Plank",280,"Brick",210,,,,,,,,,,,1,"sc3d/bldv_house_lv10_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,300,
"PumpkinField","TID_BUILDING_FIELD_PUMPKIN",,"TID_INFO_TITLE_VILLAGE_PRODUCTION","TID_BUILDING_FIELD_PUMPKIN_INFO",,,"Coins",30,"Wood",1,,,,,,,,,"Resource",,,,1,"sc3d/bldv_pumpkin_patch_lv01_geo.glb#building",,,,"sc3d/bldv_construction_pumpkin_geo.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_6x6_geo.glb","sc3d/bldv_marker_6x6_geo.glb",,100,"Crate",0,,5,,4,4,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmer",1,,,,,,,,,,"x70y220","Work","x220y70","Work","Generic Pick Up","Generic Placing",,,,,,,,,"Pumpkin",15,80,10,3,"pos_1","sc3d/bldv_pumpkin_patch_lv01_geo.glb#pumpkin_3","pos_2","sc3d/bldv_pumpkin_patch_lv01_geo.glb#pumpkin_3","pos_3","sc3d/bldv_pumpkin_patch_lv01_geo.glb#pumpkin_3",,,,,,,,,,,,,"false",,,5,,5,,5,,,,,,,,,,,,"false",,,,,,,,,,"true",520,0,,"bg_image_village_pumpkin_field","Tap_Pumpkin_Patch",0,0,0,100,"true","Tap_pumpkinpatch",,,0,
"StoneStorage","TID_BUILDING_STONE_STORAGE",,"TID_INFO_TITLE_STORAGE","TID_BUILDING_STONE_STORAGE_INFO",,,"Coins",1200,"Wood",170,,,,,,,,,"Resource",,,,1,"sc3d/bldv_stone_storage_lv1_geo.glb",,"sc3d/bldv_base_storage_2x2.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_4x4_geo.glb","sc3d/bldv_marker_4x4_geo.glb","Storage",100,"Crate",0,,5,,2,2,,"false",2,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,5,,5,"true",5,"stone_",,,,,,,,,,,"false",,,,,,,,,,"true",305,0,,,"Tap_Stone_Storage",0,0,0,100,,"Tap_stone_storage",,,0,
,,,,,,,"Coins",860,"Clay",110,"Wood",80,,,,,,,,,,,1,"sc3d/bldv_stone_storage_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,100,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_stone_storage",,,,
,,,,,,,"Coins",1600,"Wood",200,"Clay",120,,,,,,,,,,,1,"sc3d/bldv_stone_storage_lv3_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_stone_storage",,,,
,,,,,,,"Coins",2000,"Clay",230,"Wood",190,,,,,,,,,,,1,"sc3d/bldv_stone_storage_lv4_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_stone_storage",,,,
,,,,,,,"Coins",6750,"Plank",340,"Clay",480,,,,,,,,,,,1,"sc3d/bldv_stone_storage_lv5_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_stone_storage",,,,
,,,,,,,"Coins",17700,"Plank",850,"Brick",610,,,,,,,,,,,1,"sc3d/bldv_stone_storage_lv6_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_stone_storage",,,,
"Library","TID_BUILDING_LIBRARY",,"TID_INFO_TITLE_LIBRARY","TID_BUILDING_LIBRARY_INFO",,,"Coins",50,"Wood",1,,,,,,,,,"Resource",,,,1,"sc3d/bldv_library_lv1_geo.glb",,"sc3d/bldv_base_key_4x4.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_6x6_geo.glb","sc3d/bldv_marker_6x6_geo.glb","Library",100,"Crate",0,,5,,4,4,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Researcher",1,,,,,,,,,,"x150y300","Work","x300y150","Work","Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,5,,5,"true",5,"book_",,,,,,,,,,,"false",,,,,,,,,,"true",513,79,,,"Tap_Library",0,0,0,100,,"Tap_library",,,500,25
,,,,,,,"Coins",80,"Wood",2,,,,,,,,,,,,,1,"sc3d/bldv_library_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,500,
,,,,,,,"Coins",100,"Clay",6,,,,,,,,,,,,,1,"sc3d/bldv_library_lv3_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,500,
,,,,,,,"Coins",360,"Clay",12,,,,,,,,,,,,,1,"sc3d/bldv_library_lv4_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,500,
,,,,,,,"Coins",910,"Clay",110,"Wood",85,,,,,,,,,,,1,"sc3d/bldv_library_lv5_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,470,
,,,,,,,"Coins",1300,"Clay",160,"Wood",120,,,,,,,,,,,1,"sc3d/bldv_library_lv6_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,470,
,,,,,,,"Coins",2300,"Clay",250,"Stone",160,,,,,,,,,,,1,"sc3d/bldv_library_lv7_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,470,
,,,,,,,"Coins",3300,"Stone",310,"Clay",260,,,,,,,,,,,1,"sc3d/bldv_library_lv8_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,450,
,,,,,,,"Coins",5000,"Stone",460,"Clay",380,,,,,,,,,,,1,"sc3d/bldv_library_lv9_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,450,
,,,,,,,"Coins",7550,"Clay",750,"Stone",480,,,,,,,,,,,1,"sc3d/bldv_library_lv10_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,420,
,,,,,,,"Coins",11200,"Brick",520,"Plank",380,,,,,,,,,,,1,"sc3d/bldv_library_lv11_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,420,
,,,,,,,"Coins",16700,"Plank",710,"Stone",930,,,,,,,,,,,1,"sc3d/bldv_library_lv12_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,420,
,,,,,,,"Coins",18200,"Brick",960,"Clay",1350,,,,,,,,,,,1,"sc3d/bldv_library_lv13_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,400,
,,,,,,,"Coins",19500,"Wood",2450,"Plank",910,,,,,,,,,,,1,"sc3d/bldv_library_lv14_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_library",,,400,
,,,,,,,"Coins",22500,"Plank",1700,"Brick",1200,,,,,,,,,,,1,"sc3d/bldv_library_lv15_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_Generic_Building",,,400,
"Sawmill","TID_BUILDING_SAWMILL",,"TID_INFO_TITLE_VILLAGE_PRODUCTION","TID_BUILDING_SAWMILL_INFO",,,"Coins",8250,"Stone",730,"Wood",650,,,,,,,"Resource",,,,1,"sc3d/bldv_sawmill_lv1_geo.glb",,"sc3d/bldv_base_production_3x3.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_5x5_geo.glb","sc3d/bldv_marker_5x5_geo.glb","Sawmill",100,"Crate",0,,5,,3,3,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sawyer",1,,"Plank",120,1,100,"Wood",,1,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,5,,5,"true",5,"plank_",,,,,,,,,,,"false",,,,,,,,,,"true",429,28,,"bg_image_village_sawmill","Tap_Sawmill",0,0,0,100,,"Tap_sawmill",,,0,0
,,,,,,,"Coins",6150,"Stone",560,"Wood",490,,,,,,,,,,,1,"sc3d/bldv_sawmill_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_sawmill",,,,
,,,,,,,"Coins",6450,"Stone",580,"Wood",500,,,,,,,,,,,1,"sc3d/bldv_sawmill_lv3_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_sawmill",,,,
,,,,,,,"Coins",16800,"Stone",1500,"Wood",1100,,,,,,,,,,,1,"sc3d/bldv_sawmill_lv4_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_sawmill",,,,
,,,,,,,"Coins",19100,"Stone",1750,"Wood",1250,,,,,,,,,,,1,"sc3d/bldv_sawmill_lv5_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_sawmill",,,,
"StoneMine","TID_BUILDING_STONE_MINE","TID_BUILDING_STONE_MINE_UNCONSTRUCTED","TID_INFO_TITLE_VILLAGE_RESOURCE_SITE","TID_BUILDING_STONE_MINE_INFO","TID_BUILDING_STONE_MINE_INFO_UNCONSTRUCTED",,"Coins",1000,"Wood",140,"Clay",95,,,,,,,"Discoverable",,,,1,"sc3d/bldv_stone_mine.glb",,,"sc3d/bldv_stone_ground.glb","sc3d/bldv_stone_ground.glb","sc3d/bldv_evergrove_construction_2.glb","sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo",,"sc3d/bldv_marker_6x6_geo.glb","sc3d/bldv_marker_6x6_geo.glb","Mine",100,"Crate",2,,5,,4,4,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stonemason",1,,"Stone",90,1,,,,,,"x200y100","Work","x100y200","Work","Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,"true",5,,5,"true",5,,,,,,,,,,,,"false",,,,,,,,,,"true",344,55,,"bg_image_village_resource_stone_mine","Tap_Stone_Pit",0,0,0,100,,"Tap_stone_mine",,,0,0
"ChickenCoop","TID_BUILDING_CHICKEN_COOP",,"TID_INFO_TITLE_VILLAGE_PRODUCTION","TID_BUILDING_CHICKEN_COOP_INFO",,,"Coins",100,"Wood",10,,,,,,,,,"Resource",,,,1,"sc3d/bldv_chicken_coop_lv1_geo.glb",,"sc3d/bldv_base_passive_2x2.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_4x4_geo.glb","sc3d/bldv_marker_4x4_geo.glb","Storage",100,"Crate",0,,5,,2,2,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,"Egg",1800,1,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"egg_",,,,,,,,,,,"false",,,,,,,,,,"true",301,8,"Chicken",,"Tap_Chicken_Coop",0,0,0,100,,"Tap_villager_home",,,0,0
,,,,,,,"Coins",440,"Wood",65,,,,,,,,,,,,,1,"sc3d/bldv_chicken_coop_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,,
,,,,,,,"Coins",1200,"Wood",170,"Clay",100,,,,,,,,,,,1,"sc3d/bldv_chicken_coop_lv3_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,,
,,,,,,,"Coins",6800,"Wood",720,"Clay",470,,,,,,,,,,,1,"sc3d/bldv_chicken_coop_lv4_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,,
,,,,,,,"Coins",10100,"Plank",450,"Clay",640,,,,,,,,,,,1,"sc3d/bldv_chicken_coop_lv5_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,,
