"Name","TID","InfoTID","ToolTipTID","ShopInfoTID","StorageTID","StoreType","Type","Category","HideInInfoScreens","PotionIngredient","Predict","SWF","ExportName","SCW","Scale","Scale2D","ResourceIconExportName","DataGainedAnimation","CollectEffect","DepositEffect","PremiumCurrency","DisplayIndex","HudBarExportName","FillBarExportName","StartingAmount","Red","Green","Blue","CapFullTID","TextRed","TextGreen","TextBlue","RequestInVillageTasks","TaskRequirementPercentage","ReputationRewardPercentage","KnowledgeRewardPercentage","CoinsRewardPercentage","OfferProductCountPercentage","TaskResourceGroup","GemCostPercentage","MarketResource","MarketSellPrice","MarketBuyPrice","ConvertToResource","ConvertValue","NeedsVillageTech","NeedsVillageTech2","NeedsVillageBuilding","NeedsVillageBuildingLevel","NeedsVillageBuilding2","NeedsVillageBuildingLevel2","NeedsNationTech","NeedsNationTech2","NeedsNationBuilding","NeedsNationBuildingLevel","NeedsNationBuilding2","NeedsNationBuildingLevel2","IsCommodity","ProductionType","GraphicsNodeName","Tag1","Tag2","Tag3"
"AppleJam","TID_RESOURCE_APPLEJAM","TID_RESOURCE_APPLEJAM_INFO","TID_RESOURCE_APPLEJAM_TOOLTIP","TID_RESOURCE_APPLEJAM_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_pottery_jam",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1255,3764,17109,3,"FoodCrafted",678,"Coins",75,376,,,"TechRecipeAppleJam",,"PotteryWorkshop",1,"JuicePress",1,,,"NationCannery",2,,,"TRUE","POTTERY CANNING","jam","FoodCrafted","CraftedAny",
"SweetHerring","TID_RESOURCE_SWEETHERRING","TID_RESOURCE_SWEETHERRING_INFO","TID_RESOURCE_SWEETHERRING_TOOLTIP","TID_RESOURCE_SWEETHERRING_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_pottery_sweet_herring",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1512,4536,20616,3,"FoodCrafted",817,"Coins",91,454,,,"TechRecipeSweetHerring",,"PotteryWorkshop",1,"Beehive",1,,,"NationCannery",2,"NationFishingSpot",1,"TRUE","POTTERY CANNING","sweet_herring","FoodCrafted","CraftedAny",
"DyeRed","TID_RESOURCE_DYERED","TID_RESOURCE_DYERED_INFO","TID_RESOURCE_DYERED_TOOLTIP","TID_RESOURCE_DYERED_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_red",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",9,450,1349,6128,9,"CraftsDye",243,"Coins",27,135,,,"TechRecipeDyeRed",,,,,,,,"NationDyeShop",1,,,"TRUE","DYE SHOP","dye","CraftsDye","CraftsDyeBasic",
"DyeYellow","TID_RESOURCE_DYEYELLOW","TID_RESOURCE_DYEYELLOW_INFO","TID_RESOURCE_DYEYELLOW_TOOLTIP","TID_RESOURCE_DYEYELLOW_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_yellow",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",7,552,1654,7517,7,"CraftsDye",298,"Coins",33,165,,,"TechRecipeDyeYellow",,,,,,,,"NationDyeShop",1,,,"TRUE","DYE SHOP","dye","CraftsDye","CraftsDyeBasic",
"DyeBlue","TID_RESOURCE_DYEBLUE","TID_RESOURCE_DYEBLUE_INFO","TID_RESOURCE_DYEBLUE_TOOLTIP","TID_RESOURCE_DYEBLUE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_blue",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",6,648,1943,8830,6,"CraftsDye",350,"Coins",39,194,,,"TechRecipeDyeBlue",,,,,,,,"NationDyeShop",1,"NationIndigoField",1,"TRUE","DYE SHOP","dye","CraftsDye","CraftsDyeBasic",
"DyeGreen","TID_RESOURCE_DYEGREEN","TID_RESOURCE_DYEGREEN_INFO","TID_RESOURCE_DYEGREEN_TOOLTIP","TID_RESOURCE_DYEGREEN_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_green",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1464,4392,19959,3,"CraftsDye",791,"Coins",88,439,,,"TechRecipeDyeGreen",,,,,,,,"NationDyeShop",2,"NationIndigoField",1,"TRUE","DYE SHOP","dye","CraftsDye",,
"DyeOrange","TID_RESOURCE_DYEORANGE","TID_RESOURCE_DYEORANGE_INFO","TID_RESOURCE_DYEORANGE_TOOLTIP","TID_RESOURCE_DYEORANGE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_orange",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1266,3797,17258,3,"CraftsDye",684,"Coins",76,380,,,"TechRecipeDyeOrange",,,,,,,,"NationDyeShop",2,,,"TRUE","DYE SHOP","dye","CraftsDye",,
"DyePurple","TID_RESOURCE_DYEPURPLE","TID_RESOURCE_DYEPURPLE_INFO","TID_RESOURCE_DYEPURPLE_TOOLTIP","TID_RESOURCE_DYEPURPLE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_purple",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1362,4086,18571,3,"CraftsDye",736,"Coins",82,409,,,"TechRecipeDyePurple",,,,,,,,"NationDyeShop",2,"NationIndigoField",1,"TRUE","DYE SHOP","dye","CraftsDye",,
"DyeRainbow","TID_RESOURCE_DYERAINBOW","TID_RESOURCE_DYERAINBOW_INFO","TID_RESOURCE_DYERAINBOW_TOOLTIP","TID_RESOURCE_DYERAINBOW_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_dye_shop_rainbow",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,4413,13239,60175,1,"CraftsDye",2385,"Coins",265,1324,,,"TechRecipeDyeRainbow",,,,,,,,"NationDyeShop",3,,,"TRUE","DYE SHOP","dye_rainbow","CraftsDye",,
"Plushie","TID_RESOURCE_PLUSHIE","TID_RESOURCE_PLUSHIE_INFO","TID_RESOURCE_PLUSHIE_TOOLTIP","TID_RESOURCE_PLUSHIE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_toy_shop_plushie",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,1794,5380,24453,2,"CraftsCrafted",969,"Coins",108,538,,,"TechRecipePlushie",,,,,,,,"NationToyWorkshop",1,"NationDyeShop",1,"TRUE","TOY WORKSHOP","plushie","CraftsCrafted","CraftedAny",
"RuneGame","TID_RESOURCE_RUNEGAME","TID_RESOURCE_RUNEGAME_INFO","TID_RESOURCE_RUNEGAME_TOOLTIP","TID_RESOURCE_RUNEGAME_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_toy_shop_runegame",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,2097,6291,28592,2,"CraftsCrafted",1133,"Coins",126,629,,,"TechRecipeRuneGame",,,,,,,,"NationToyWorkshop",1,"NationDyeShop",1,"TRUE","TOY WORKSHOP","runegame","CraftsCrafted","CraftedAny",
"WoodenDuck","TID_RESOURCE_WOODENDUCK","TID_RESOURCE_WOODENDUCK_INFO","TID_RESOURCE_WOODENDUCK_TOOLTIP","TID_RESOURCE_WOODENDUCK_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_toy_shop_wooden_duck",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,2290,6869,31221,2,"CraftsCrafted",1238,"Coins",137,687,,,"TechRecipeWoodenDuck","TechRecipeDyeGreen","Sawmill",1,,,,,"NationToyWorkshop",2,"NationDyeShop",2,"TRUE","TOY WORKSHOP","wooden_duck","CraftsCrafted","CraftedAny",
"Marbles","TID_RESOURCE_MARBLES","TID_RESOURCE_MARBLES_INFO","TID_RESOURCE_MARBLES_TOOLTIP","TID_RESOURCE_MARBLES_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_toy_shop_clay_marbles",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,4430,13288,60398,1,"CraftsCrafted",2394,"Coins",266,1329,,,"TechRecipeMarbles","TechRecipeDyePurple",,,,,,,"NationToyWorkshop",2,"NationDyeShop",2,"TRUE","TOY WORKSHOP","marbles","CraftsCrafted","CraftedAny",
"WoodenDoll","TID_RESOURCE_WOODENDOLL","TID_RESOURCE_WOODENDOLL_INFO","TID_RESOURCE_WOODENDOLL_TOOLTIP","TID_RESOURCE_WOODENDOLL_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_toy_shop_wooden_doll",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,7222,21664,98470,1,"CraftsCrafted",3903,"Coins",433,2166,,,"TechRecipeWoodenDoll","TechRecipeDyeRainbow",,,,,,,"NationToyWorkshop",3,"NationDyeShop",3,"TRUE","TOY WORKSHOP","toy_shop_doll","CraftsCrafted","CraftedAny",
"Socks","TID_RESOURCE_SOCKS","TID_RESOURCE_SOCKS_INFO","TID_RESOURCE_SOCKS_TOOLTIP","TID_RESOURCE_SOCKS_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_socks",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",7,530,1590,7224,7,"ClothesCrafted",286,"Coins",32,159,,,"TechRecipeSocks",,,,,,,,"NationTailor",1,,,"TRUE","TAILOR","tailor_socks","ClothesCrafted","CraftedAny",
"Trousers","TID_RESOURCE_TROUSERS","TID_RESOURCE_TROUSERS_INFO","TID_RESOURCE_TROUSERS_TOOLTIP","TID_RESOURCE_TROUSERS_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_woolen_trousers",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",5,730,2189,9949,5,"ClothesCrafted",394,"Coins",44,219,,,"TechRecipeTrousers",,,,,,,,"NationCottonField",1,,,"TRUE","TAILOR","tailor_pants","ClothesCrafted","CraftedAny",
"Hat","TID_RESOURCE_HAT","TID_RESOURCE_HAT_INFO","TID_RESOURCE_HAT_TOOLTIP","TID_RESOURCE_HAT_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_hat",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",4,1037,3111,14141,4,"ClothesCrafted",561,"Coins",62,311,,,"TechRecipeHat",,,,,,,,"NationDyeShop",1,,,"TRUE","TAILOR","tailor_hat","ClothesCrafted","CraftedAny",
"Tunic","TID_RESOURCE_TUNIC","TID_RESOURCE_TUNIC_INFO","TID_RESOURCE_TUNIC_TOOLTIP","TID_RESOURCE_TUNIC_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_woolen_shirt",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",4,989,2967,13483,4,"ClothesCrafted",534,"Coins",59,297,,,"TechRecipeTunic",,,,,,,,"NationTailor",1,,,"TRUE","TAILOR","tailor_woolen_shirt","ClothesCrafted","CraftedAny",
"Shirt","TID_RESOURCE_SHIRT","TID_RESOURCE_SHIRT_INFO","TID_RESOURCE_SHIRT_TOOLTIP","TID_RESOURCE_SHIRT_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_green_shirt",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,2089,6267,28482,2,"ClothesCrafted",1129,"Coins",125,627,,,"TechRecipeShirt",,,,,,,,"NationDyeShop",2,,,"TRUE","TAILOR","tailor_shirt","ClothesCrafted","CraftedAny",
"Dress","TID_RESOURCE_DRESS","TID_RESOURCE_DRESS_INFO","TID_RESOURCE_DRESS_TOOLTIP","TID_RESOURCE_DRESS_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_purple_dress",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,3860,11580,52633,1,"ClothesCrafted",2086,"Coins",232,1158,,,"TechRecipeDress","TechRecipeDyePurple",,,,,,,"NationTailor",2,"NationDyeShop",2,"TRUE","TAILOR","tailor_dress","ClothesCrafted","CraftedAny",
"Jacket","TID_RESOURCE_JACKET","TID_RESOURCE_JACKET_INFO","TID_RESOURCE_JACKET_TOOLTIP","TID_RESOURCE_JACKET_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_jacket",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,3075,9224,41923,1,"ClothesCrafted",1662,"Coins",184,922,,,"TechRecipeJacket",,,,,,,,"NationTailor",3,"NationDyeShop",1,"TRUE","TAILOR","tailor_jacket","ClothesCrafted","CraftedAny",
"RainbowSuit","TID_RESOURCE_RAINBOWSUIT","TID_RESOURCE_RAINBOWSUIT_INFO","TID_RESOURCE_RAINBOWSUIT_TOOLTIP","TID_RESOURCE_RAINBOWSUIT_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_tailor_rainbow_suit",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,14464,43390,197227,1,"ClothesCrafted",7818,"Coins",868,4339,,,"TechRecipeRainbowSuit","TechRecipeDyeRainbow",,,,,,,"NationTailor",3,"NationDyeShop",3,"TRUE","TAILOR","wedding_dress","ClothesCrafted","CraftedAny",
"Figurine","TID_RESOURCE_FIGURINE","TID_RESOURCE_FIGURINE_INFO","TID_RESOURCE_FIGURINE_TOOLTIP","TID_RESOURCE_FIGURINE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"VillageCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_resource_wooden_figurine","sc3d/res_figurine_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",19,192,574,2607,19,"CraftsVillageCraft",103,"Coins",11,57,,,,,"FigurineWorkshop",1,,,,,,,,,"TRUE","VILLAGE","wooden_figurine","CraftsVillageCraft","CraftedAny",
"Pottery","TID_RESOURCE_POTTERY","TID_RESOURCE_POTTERY_INFO","TID_RESOURCE_POTTERY_TOOLTIP","TID_RESOURCE_POTTERY_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"VillageCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_resource_pot","sc3d/res_pot_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",18,204,612,2779,18,"CraftsVillageCraft",110,"Coins",12,61,,,,,"PotteryWorkshop",1,,,,,,,,,"TRUE","VILLAGE","pot","CraftsVillageCraft","CraftedAny",
"Statuette","TID_RESOURCE_STATUETTE","TID_RESOURCE_STATUETTE_INFO","TID_RESOURCE_STATUETTE_TOOLTIP","TID_RESOURCE_STATUETTE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"VillageCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_resource_stone_statue","sc3d/res_statuette_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",18,207,620,2817,18,"CraftsVillageCraft",112,"Coins",12,62,,,,,"StatueWorkshop",1,,,,,,,,,"TRUE","VILLAGE","stone_figurine","CraftsVillageCraft","CraftedAny",
"AppleJuice","TID_RESOURCE_APPLEJUICE","TID_RESOURCE_APPLEJUICE_INFO","TID_RESOURCE_APPLEJUICE_TOOLTIP","TID_RESOURCE_APPLEJUICE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"VillageFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_resource_apple_juice","sc3d/res_juice_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",20,184,551,2504,20,"FoodVillageCraft",99,"Coins",11,55,"Food",5,,,"JuicePress",1,,,,,,,,,"TRUE","VILLAGE","apple_juice","FoodVillageCraft",,
"Flour","TID_RESOURCE_FLOUR","TID_RESOURCE_FLOUR_INFO","TID_RESOURCE_FLOUR_TOOLTIP","TID_RESOURCE_FLOUR_SHOP_INFO","TID_STORAGE_KITCHEN",,,"VillageFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_resource_flour","sc3d/res_flour_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",20,188,562,2554,20,"FoodVillageCraft",101,"Coins",11,56,"Food",5,,,"Windmill",1,,,,,"WheatField",1,,,"TRUE","VILLAGE","flour","FoodVillageCraft",,
"Honey","TID_RESOURCE_HONEY","TID_RESOURCE_HONEY_INFO","TID_RESOURCE_HONEY_TOOLTIP","TID_RESOURCE_HONEY_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_honey","sc3d/res_crate_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",41,93,277,1258,41,"FoodRawMaterial",50,"Coins",6,28,"Food",2,,,"Beehive",1,,,,,,,,,"TRUE","VILLAGE","honey","FoodRawMaterial",,
"Apple","TID_RESOURCE_APPLE","TID_RESOURCE_APPLE_INFO","TID_RESOURCE_APPLE_TOOLTIP","TID_RESOURCE_APPLE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_apple","sc3d/res_apple_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",68,56,166,751,68,"FoodVillageCraft",30,"Coins",3,17,"Food",1,,,"AppleTreeGrove",1,,,,,,,,,"TRUE","VILLAGE","apple","FoodVillageCraft",,
"Carrot","TID_RESOURCE_CARROT","TID_RESOURCE_CARROT_INFO","TID_RESOURCE_CARROT_TOOLTIP","TID_RESOURCE_CARROT_SHOP_INFO","TID_STORAGE_KITCHEN",,,"NoCategory",,"FALSE","FALSE","sc/ui.sc","icon_resource_carrot","sc3d/tool_carrot_geo.glb",100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,,,,,,,"Default",100,,,,,,,,,,,,,,,,,,"FALSE",,"carrot",,,
