"Name","TID","NPC","Cart","Scale","CollisionShape","SpawnToBuilding","SpawnToObstacle","SpawnToNation","MaxCompletions","CooldownSeconds","MinNationLevel","MaxNationLevel","BuildingNeeded","BuildingLevelNeeded","TechNeeded","OtherChallengeNeeded","OtherChallengeStagesCompleteNeeded","Stage","AvailableTID","AvailableSCW","AvailableIconSWF","AvailableIconExportName","AvailableSeconds","AvailableBGExportName","ActiveTID","ActiveSCW","ActiveIconSWF","ActiveIconExportName","ActiveSeconds","ActiveBGExportName","TaskCount","CoinTaskMinPercentage","CoinTaskMaxPercentage","RequiredAmountPercentage","CoinRewardSizePercentage","KnowledgeRewardSizePercentage","ReputationRewardSizePercentage","ResourceOrTag1","ResourceOrTag2","ResourceOrTag3","WorkerJobSeconds","WorkerJobTID","WorkerJobBGExportName","WorkerJobProfession","WorkerJobRewardData1","WorkerJobRewardAmount1","WorkerJobRewardData2","WorkerJobRewardAmount2","WorkerJobRewardReputation","WorkerJobRewardNationKnowledge","WinTID","WinSCW","WinIconSWF","WinIconExportName","WinBGExportName","LoseTID","LoseSCW","LoseIconSWF","LoseIconExportName","LoseBGExportName","ReviewSeconds","RewardPerk","RewardPerkSeconds","RewardNationKnowledge"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_06","bg_image_village_resource_clay","Claydigger","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE007_RUINS01_STAGE2","sc3d/valley_event_ancient_ruins.glb#stage2","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",21,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,,,,,,"TID_CHALLENGE007_RUINS01_LOSE_STAGE2","sc3d/valley_event_ancient_ruins.glb#stage2","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE007_RUINS01_STAGE3","sc3d/valley_event_ancient_ruins.glb#stage3","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",,,,,,,,,,,21600,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_01","bg_image_village_library","Researcher","Science",42,,,,,,,,,,"TID_CHALLENGE007_RUINS01_LOSE_STAGE3","sc3d/valley_event_ancient_ruins.glb#stage3","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_02","bg_image_village_library","Researcher","Science",28,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_03","bg_image_village_library","Researcher","Science",28,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_04","bg_image_village_library","Researcher","Science",14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_05","bg_image_village_library","Researcher","Science",14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE007_RUINS01_STAGE3_JOB_06","bg_image_village_resource_clay","Claydigger","Coins",70,,,5,,,,,,,,,,,,,,,
"Challenge008_Ruins02","TID_CHALLENGE008_RUINS02_TITLE","Librarian","ChallengeCart",100,"Academy",,,"ChallengeSiteGrandMonument",,1209600,3,,"NationMonument01",6,,"Challenge007_Ruins01",3,1,"TID_CHALLENGE008_RUINS02_INTRO","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_wave",259200,"bg_image_valley_guilds","TID_CHALLENGE008_RUINS02_STAGE1","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",18,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,"TID_CHALLENGE008_RUINS02_WIN","sc3d/valley_event_ancient_ruins.glb#stage4","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds","TID_CHALLENGE008_RUINS02_LOSE_STAGE1","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",86400,,,1000
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE008_RUINS02_STAGE2","sc3d/valley_event_ancient_ruins.glb#stage2","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",,,,,,,,,,,43200,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_01","bg_image_village_library","Researcher","Science",84,,,,,,,,,,"TID_CHALLENGE008_RUINS02_LOSE_STAGE2","sc3d/valley_event_ancient_ruins.glb#stage2","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_02","bg_image_village_resource_clay","Claydigger","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_03","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_05","bg_image_village_resource_stone","Stonemason","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE008_RUINS02_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE008_RUINS02_STAGE3","sc3d/valley_event_ancient_ruins.glb#stage3","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",,,,,,,,,,,21600,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_01","bg_image_village_library","Researcher","Science",42,,,,,,,,,,"TID_CHALLENGE008_RUINS02_LOSE_STAGE3","sc3d/valley_event_ancient_ruins.glb#stage3","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_02","bg_image_village_library","Researcher","Science",28,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_03","bg_image_village_library","Researcher","Science",28,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_04","bg_image_village_library","Researcher","Science",14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_05","bg_image_village_library","Researcher","Science",14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE008_RUINS02_STAGE3_JOB_06","bg_image_village_resource_clay","Claydigger","Coins",70,,,5,,,,,,,,,,,,,,,
"Challenge009_FishingFrenzy","TID_CHALLENGE009_FISHINGFRENZY_TITLE","Fisher","ChallengeCart",100,"Academy",,,"ChallengeSiteFishingHut",,1209600,5,,"NationFishingSpot",1,,,,1,"TID_CHALLENGE009_FISHINGFRENZY_INTRO","sc3d/valley_event_fishing_frenzy.glb#start","sc/npc_characters.sc","emote_fisherman_wave",259200,"bg_image_valley_event_fishing_frenzy","TID_CHALLENGE009_FISHINGFRENZY_STAGE1","sc3d/valley_event_fishing_frenzy.glb#stage1","sc/npc_characters.sc","emote_fisherman_idle",86400,"bg_image_valley_event_fishing_frenzy",60,100,100,30,100,100,100,"FoodRawMaterial","FoodProdArea",,,,,,,,,,,,"TID_CHALLENGE009_FISHINGFRENZY_WIN","sc3d/valley_event_fishing_frenzy.glb#stage4","sc/npc_characters.sc","emote_fisherman_wave","bg_image_valley_event_fishing_frenzy","TID_CHALLENGE009_FISHINGFRENZY_LOSE_STAGE1","sc3d/valley_event_fishing_frenzy.glb#start","sc/npc_characters.sc","emote_fisherman_wave","bg_image_valley_event_fishing_frenzy",86400,"FasterNationFishingSpot",86400,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE009_FISHINGFRENZY_STAGE2","sc3d/valley_event_fishing_frenzy.glb#stage2","sc/npc_characters.sc","emote_fisherman_idle",86400,"bg_image_valley_event_fishing_frenzy",,,,,,,,,,,28800,"TID_CHALLENGE009_FISHINGFRENZY_STAGE2_JOB_01","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,"TID_CHALLENGE009_FISHINGFRENZY_LOSE_STAGE2","sc3d/valley_event_fishing_frenzy.glb#start","sc/npc_characters.sc","emote_fisherman_wave","bg_image_valley_event_fishing_frenzy",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE009_FISHINGFRENZY_STAGE2_JOB_02","bg_image_village_library","Researcher","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE009_FISHINGFRENZY_STAGE2_JOB_03","bg_image_village_library","Researcher","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3","sc3d/valley_event_fishing_frenzy.glb#stage3","sc/npc_characters.sc","emote_fisherman_idle",86400,"bg_image_valley_event_fishing_frenzy",,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_01","bg_image_valley_background",,"Fish",5,,,,,,,,,,"TID_CHALLENGE009_FISHINGFRENZY_LOSE_STAGE3","sc3d/valley_event_fishing_frenzy.glb#start","sc/npc_characters.sc","emote_fisherman_wave","bg_image_valley_event_fishing_frenzy",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_02","bg_image_valley_background",,"Fish",5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_03","bg_image_valley_background",,"Fish",5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_04","bg_image_valley_background",,"Fish",5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_05","bg_image_valley_background",,"Fish",5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE009_FISHINGFRENZY_STAGE3_JOB_06","bg_image_valley_background",,"Fish",5,,,,,,,,,,,,,,,,,,
"Challenge010_MechaScarecrow","TID_CHALLENGE010_MECHASCARECROW_TITLE","Farmers","ChallengeCart",100,"Academy",,,"ChallengeSiteWheatField",,1209600,2,,"WheatField",1,,,,1,"TID_CHALLENGE010_MECHASCARECROW_INTRO","sc3d/valley_event_mecha_scarecrow.glb#stage1","sc/npc_characters.sc","emote_farmer_male_wave",259200,"bg_image_valley_event_mobile_scarecrow_force","TID_CHALLENGE010_MECHASCARECROW_STAGE1","sc3d/valley_event_mecha_scarecrow.glb#stage1","sc/npc_characters.sc","emote_farmer_male_idle",86400,"bg_image_valley_event_mobile_scarecrow_force",,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_01","bg_image_village_library","Researcher","Science",84,,,,,"TID_CHALLENGE010_MECHASCARECROW_WIN","sc3d/valley_event_mecha_scarecrow.glb#stage4","sc/npc_characters.sc","emote_farmer_male_wave","bg_image_valley_event_mobile_scarecrow_force","TID_CHALLENGE010_MECHASCARECROW_LOSE_STAGE1","sc3d/valley_event_mecha_scarecrow.glb#stage1","sc/npc_characters.sc","emote_farmer_male_wave","bg_image_valley_event_mobile_scarecrow_force",86400,"FasterWheatField",86400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_02","bg_image_village_library","Researcher","Science",84,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_03","bg_image_village_library","Researcher","Science",56,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_04","bg_image_village_library","Researcher","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_05","bg_image_village_library","Researcher","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_06","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_07","bg_image_valley_wheat_field","Farmer","Wheat",37,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_08","bg_image_village_library","Researcher","Science",56,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_09","bg_image_valley_background",,"Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_10","bg_image_village_library","Researcher","Science",84,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_11","bg_image_village_library","Researcher","Science",84,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE010_MECHASCARECROW_STAGE1_JOB_12","bg_image_valley_background",,"Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE010_MECHASCARECROW_STAGE2","sc3d/valley_event_mecha_scarecrow.glb#stage2","sc/npc_characters.sc","emote_farmer_male_idle",86400,"bg_image_valley_event_mobile_scarecrow_force",30,100,100,60,100,100,100,"ConstructionAny","CraftsDye","ClothesProdArea",,,,,,,,,,,,,,,,"TID_CHALLENGE010_MECHASCARECROW_LOSE_STAGE2","sc3d/valley_event_mecha_scarecrow.glb#stage2","sc/npc_characters.sc","emote_farmer_male_wave","bg_image_valley_event_mobile_scarecrow_force",,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE010_MECHASCARECROW_STAGE3","sc3d/valley_event_mecha_scarecrow.glb#stage3","sc/npc_characters.sc","emote_farmer_male_idle",86400,"bg_image_valley_event_mobile_scarecrow_force",,,,,,,,,,,43200,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_01","bg_image_village_library","Researcher","Coins",418,,,31,,,,,,,"TID_CHALLENGE010_MECHASCARECROW_LOSE_STAGE3","sc3d/valley_event_mecha_scarecrow.glb#stage3","sc/npc_characters.sc","emote_farmer_male_wave","bg_image_valley_event_mobile_scarecrow_force",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_02","bg_image_village_resource_stone","Stonemason","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_03","bg_image_village_resource_stone","Stonemason","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_04","bg_image_valley_background",,"Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_05","bg_image_valley_background",,"Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_06","bg_image_valley_wheat_field","Farmer","Wheat",47,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_07","bg_image_valley_background",,"Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_08","bg_image_valley_background",,"Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_09","bg_image_valley_wheat_field","Farmer","Wheat",16,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_10","bg_image_valley_background",,"Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_11","bg_image_valley_background",,"Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_12","bg_image_valley_background",,"Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_13","bg_image_valley_background",,"Coins",349,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_14","bg_image_valley_background",,"Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE010_MECHASCARECROW_STAGE3_JOB_15","bg_image_valley_background",,"Coins",209,,,15,,,,,,,,,,,,,,,
"Challenge011_PlaturtlePants","TID_CHALLENGE011_PLATURTLEPANTS_TITLE","Tailor","ChallengeCart",100,"Academy",,,"ChallengeSiteMountain2",,1209600,4,,"NationTailor",2,,"Challenge004_PlaturtlePancake",3,1,"TID_CHALLENGE011_PLATURTLEPANTS_INTRO","sc3d/valley_event_platurtle_pants.glb#stage1","sc/npc_characters.sc","emote_tailor_wave",259200,"bg_image_valley_event_platurtles_new_clothes","TID_CHALLENGE011_PLATURTLEPANTS_STAGE1","sc3d/valley_event_platurtle_pants.glb#stage1","sc/npc_characters.sc","emote_tailor_idle",86400,"bg_image_valley_event_platurtles_new_clothes",,,,,,,,,,,28800,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_01","bg_image_valley_construction","Builder","Coins",279,,,20,,"TID_CHALLENGE011_PLATURTLEPANTS_WIN","sc3d/valley_event_platurtle_pants.glb#stage4","sc/npc_characters.sc","emote_tailor_wave","bg_image_valley_event_platurtles_new_clothes","TID_CHALLENGE011_PLATURTLEPANTS_LOSE_STAGE1","sc3d/valley_event_platurtle_pants.glb#stage1","sc/npc_characters.sc","emote_tailor_wave","bg_image_valley_event_platurtles_new_clothes",86400,"FasterNationTailor",86400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_02","bg_image_village_resource_wood","Lumberjack","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32400,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_03","bg_image_valley_construction","Builder","Coins",314,,,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_04","bg_image_village_library","Researcher","Coins",349,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_05","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_06","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_07","bg_image_village_library","Researcher","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_08","bg_image_valley_construction","Builder","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_09","bg_image_valley_wheat_field","Farmer","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_10","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_11","bg_image_valley_construction","Builder","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE1_JOB_12","bg_image_valley_background",,"Coins",349,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE2","sc3d/valley_event_platurtle_pants.glb#stage2","sc/npc_characters.sc","emote_tailor_idle",86400,"bg_image_valley_event_platurtles_new_clothes",36,100,100,30,100,100,100,"ClothesProdArea","ClothesCrafted","CraftsDye",,,,,,,,,,,,,,,,"TID_CHALLENGE011_PLATURTLEPANTS_LOSE_STAGE2","sc3d/valley_event_platurtle_pants.glb#stage2","sc/npc_characters.sc","emote_tailor_wave","bg_image_valley_event_platurtles_new_clothes",,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE011_PLATURTLEPANTS_STAGE3","sc3d/valley_event_platurtle_pants.glb#stage3","sc/npc_characters.sc","emote_tailor_idle",86400,"bg_image_valley_event_platurtles_new_clothes",27,100,100,50,100,100,100,"ClothesProdArea","ClothesCrafted","CraftsDye",,,,,,,,,,,,,,,,"TID_CHALLENGE011_PLATURTLEPANTS_LOSE_STAGE3","sc3d/valley_event_platurtle_pants.glb#stage3","sc/npc_characters.sc","emote_tailor_wave","bg_image_valley_event_platurtles_new_clothes",,,,
"Challenge012_BiggestCake","TID_CHALLENGE012_BIGGESTCAKE_TITLE","Baker","ChallengeCart",100,"Academy",,,"ChallengeSiteBakery",,1209600,5,,"NationBakery",3,,,,1,"TID_CHALLENGE012_BIGGESTCAKE_INTRO","sc3d/valley_event_biggest_cake.glb#stage1","sc/npc_characters.sc","emote_baker_wave",259200,"bg_image_valley_event_biggest_cake","TID_CHALLENGE012_BIGGESTCAKE_STAGE1","sc3d/valley_event_biggest_cake.glb#stage1","sc/npc_characters.sc","emote_baker_idle",86400,"bg_image_valley_event_biggest_cake",,,,,,,,,,,28800,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_01","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,"TID_CHALLENGE012_BIGGESTCAKE_WIN","sc3d/valley_event_biggest_cake.glb#stage4","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_event_biggest_cake","TID_CHALLENGE012_BIGGESTCAKE_LOSE_STAGE1","sc3d/valley_event_biggest_cake.glb#stage1","sc/npc_characters.sc","emote_baker_wave","bg_image_valley_event_biggest_cake",86400,"FasterNationBakery",86400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_02","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_03","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_04","bg_image_village_resource_stone","Stonemason","Coins",349,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_05","bg_image_village_resource_clay","Claydigger","Coins",349,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE012_BIGGESTCAKE_STAGE1_JOB_06","bg_image_village_library","Researcher","Coins",279,,,20,,,,,,,,,,,,,,,
